City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
677,Yulara,AU,82.24,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
682,Puerto Escondido,MX,83.97,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
683,Coxim,BR,77.76,overcast clouds,-18.5067,-54.76,Hotel Avenida
685,Bac Lieu,VN,75.97,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
695,Phangnga,TH,80.64,scattered clouds,8.4509,98.5298,Sunimit Mansion
696,Indiaroba,BR,86.59,broken clouds,-11.5192,-37.5117,Pura Vida Bahia
702,Oriximina,BR,85.08,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
706,San Antero,CO,85.96,scattered clouds,9.3741,-75.7589,Villamarina Inn chale
711,Pak Phanang,TH,78.33,broken clouds,8.3511,100.202,Green Park Inn Hotel
714,Lahad Datu,MY,76.55,overcast clouds,5.0268,118.327,The 27th House
717,Paita,PE,79.36,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
719,Guaruja,BR,82.89,overcast clouds,-23.9931,-46.2564,Charme Hotel Guarujá
720,Paptalaya,HN,82.44,overcast clouds,15.5,-84.3167,Hospedaje Ingnika
724,Touros,BR,79.7,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
726,Riachao Das Neves,BR,82.49,few clouds,-11.7461,-44.91,Casa Costa
728,Basco,PH,78.69,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
730,Manggar,ID,78.8,overcast clouds,-2.8833,108.2667,Guest Hotel
