City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
535,Nyagan,RU,62.1406,65.3936,-5.13,98,47,4.21,scattered clouds
536,Ngunguru,NZ,-35.6167,174.5,66.16,70,54,15.01,broken clouds
537,Orbetello,IT,42.4408,11.2196,51.8,72,25,7.65,scattered clouds
538,Tahe,CN,52.3333,124.7333,5.04,74,100,10.36,overcast clouds
539,Mount Isa,AU,-20.7333,139.5,74.97,100,100,8.05,overcast clouds
540,Saint-Leu,RE,-21.15,55.2833,77.86,77,88,10.51,overcast clouds
541,Itacare,BR,-14.2775,-38.9967,83.44,66,13,8.14,few clouds
542,Marawi,PH,7.9986,124.2928,67.64,91,67,2.86,broken clouds
543,Bolshaya Martynovka,RU,47.271,41.6679,19.89,93,73,8.61,broken clouds
544,Murom,RU,55.5656,42.0417,12.43,92,98,10.92,overcast clouds
545,Cikupa,ID,-6.2364,106.5083,79.36,83,100,4.59,light rain
546,Luyang,CN,27.6239,110.0989,33.06,98,100,2.68,snow
547,Tsiroanomandidy,MG,-18.7667,46.0333,72.82,71,43,2.86,scattered clouds
548,Cao Bang,VN,22.6667,106.25,63.37,96,98,3.06,overcast clouds
549,Digby,CA,44.6169,-65.7655,36.59,99,100,10.51,light rain
550,Eureka,US,40.8021,-124.1637,41.61,53,72,4.09,broken clouds
551,Lima,PE,-12.0432,-77.0282,76.14,79,0,1.99,clear sky
552,Hounde,BF,11.5,-3.5167,94.21,9,7,6.24,clear sky
553,Donaueschingen,DE,47.95,8.5,34.88,92,76,3.06,broken clouds
554,Yinchuan,CN,38.4681,106.2731,25.29,42,37,6.33,scattered clouds
555,Nizwa,OM,22.9333,57.5333,72.41,32,0,2.35,clear sky
556,Lahat,ID,-3.8,103.5333,72.86,96,100,1.7,overcast clouds
557,Lavrentiya,RU,65.5833,-171.0,-11.31,99,10,4.25,clear sky
558,Parobe,BR,-29.6286,-50.8347,80.26,55,80,7.0,broken clouds
559,Waki,JP,34.0667,134.15,45.01,79,96,5.95,overcast clouds
560,Ngozi,BI,-2.9075,29.8306,61.41,80,60,1.25,broken clouds
561,Bathsheba,BB,13.2167,-59.5167,78.75,70,51,14.16,broken clouds
562,Rock Sound,BS,24.9,-76.2,76.06,77,100,14.61,overcast clouds
563,Saint-Pierre,RE,-21.3393,55.4781,78.48,65,20,8.05,few clouds
564,Szirmabesenyo,HU,48.15,20.8,38.68,74,98,8.93,overcast clouds
565,Tiksi,RU,71.6872,128.8694,-3.66,97,100,7.67,overcast clouds
566,Villa Altagracia,DO,18.673,-70.171,85.51,45,0,5.3,clear sky
567,Ushumun,RU,52.7833,126.5333,-3.84,80,24,10.25,few clouds
