City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
218,Broken Hill,AU,2022-01-26 20:41:27,-31.95,141.4333,80.31,50,98,9.22
219,Antofagasta,CL,2022-01-26 20:39:55,-23.65,-70.4,70.21,63,6,8.43
220,Rosita,NI,2022-01-26 20:41:27,13.9268,-84.4032,86.29,46,67,5.46
221,Oktyabrskiy,RU,2022-01-26 20:41:28,54.4815,53.471,17.37,94,100,10.71
222,Aksarka,RU,2022-01-26 20:41:28,66.5606,67.7975,3.79,94,100,8.97
223,Kalmar,SE,2022-01-26 20:41:28,56.6616,16.3616,39.15,85,0,12.66
224,Obregon,NI,2022-01-26 20:42:29,11.9566,-85.9636,91.49,60,80,9.15
225,Naustdal,NO,2022-01-26 20:42:29,61.509,5.7168,39.06,97,100,3.44
226,Bangassou,CF,2022-01-26 20:42:29,4.7413,22.8184,74.77,29,100,2.3
227,Seymchan,RU,2022-01-26 20:42:30,62.8833,152.4333,-38.02,100,95,1.39
228,Chokwe,MZ,2022-01-26 20:42:30,-24.5333,32.9833,76.1,91,100,6.17
229,Epernay,FR,2022-01-26 20:42:30,49.05,3.95,33.91,89,48,4.23
230,Eureka,US,2022-01-26 20:42:31,40.8021,-124.1637,47.59,43,0,4.29
231,Nome,US,2022-01-26 20:42:31,64.5011,-165.4064,-18.33,76,0,0.0
232,Georgetown,MY,2022-01-26 20:42:31,5.4112,100.3354,80.53,89,40,3.0
233,Chokurdakh,RU,2022-01-26 20:42:32,70.6333,147.9167,-28.84,98,36,11.25
234,Emerald,AU,2022-01-26 20:42:32,-23.5333,148.1667,78.94,73,100,8.05
235,Santa Cruz,BO,2022-01-26 20:42:32,-17.8,-63.1667,94.46,43,40,19.57
236,Benguela,AO,2022-01-26 20:42:33,-12.5763,13.4055,77.63,80,95,2.82
237,Brawley,US,2022-01-26 20:42:33,32.9787,-115.5303,70.48,19,0,0.0
238,Vila Franca Do Campo,PT,2022-01-26 20:42:33,37.7167,-25.4333,59.41,70,98,11.74
239,Elko,US,2022-01-26 20:42:34,41.0002,-115.5012,32.02,69,8,2.77
240,Santander Jimenez,MX,2022-01-26 20:42:34,24.2167,-98.4667,71.22,50,76,6.67
241,Norman Wells,CA,2022-01-26 20:38:26,65.282,-126.8329,12.24,85,75,4.61
242,Umm Lajj,SA,2022-01-26 20:42:35,25.0213,37.2685,63.84,49,3,11.88
243,Borogontsy,RU,2022-01-26 20:42:35,62.6683,131.1683,-42.41,100,58,3.06
244,Atar,MR,2022-01-26 20:42:35,20.5169,-13.0499,70.34,30,11,7.38
245,San Jeronimo,PE,2022-01-26 20:42:36,-11.9472,-75.2829,52.05,78,100,0.96
246,Esperance,AU,2022-01-26 20:42:36,-33.8667,121.9,62.44,87,74,7.27
247,Hay River,CA,2022-01-26 20:39:31,60.8156,-115.7999,17.58,79,75,9.22
248,Ostrovnoy,RU,2022-01-26 20:42:36,68.0531,39.5131,8.44,92,5,14.97
249,Vostok,RU,2022-01-26 20:42:37,46.4856,135.8833,-2.13,99,100,3.56
250,Kiruna,SE,2022-01-26 20:42:37,67.8557,20.2251,13.12,92,100,0.0
251,Luanda,AO,2022-01-26 20:40:48,-8.8368,13.2343,77.0,78,20,5.75
252,Cockburn Town,TC,2022-01-26 20:41:57,21.4612,-71.1419,80.56,61,20,4.61
253,Izhma,RU,2022-01-26 20:42:38,65.0083,53.9113,6.78,98,89,5.17
254,Troitskoye,RU,2022-01-26 20:42:38,52.9821,84.6757,12.99,94,100,7.74
255,Talcahuano,CL,2022-01-26 20:42:38,-36.7167,-73.1167,67.68,68,0,9.22
256,Saldanha,ZA,2022-01-26 20:42:39,-33.0117,17.9442,62.65,93,6,15.97
257,Karasuk,RU,2022-01-26 20:42:39,53.7377,78.0403,-14.26,100,100,4.12
258,Altamira,BR,2022-01-26 20:42:39,-3.2033,-52.2064,87.89,66,75,2.3
259,Faanui,PF,2022-01-26 20:42:40,-16.4833,-151.75,80.73,77,82,17.02
260,Bardiyah,LY,2022-01-26 20:42:40,31.7561,25.0865,49.32,55,5,14.61
261,Magan,ES,2022-01-26 20:42:40,39.9683,-3.931,51.46,63,10,9.93
262,La Tuque,CA,2022-01-26 20:38:56,47.4334,-72.7824,-3.75,45,88,1.14
263,Ennis,IE,2022-01-26 20:42:41,52.8436,-8.9864,51.06,93,75,13.8
264,Bonthe,SL,2022-01-26 20:42:41,7.5264,-12.505,79.5,76,90,10.36
265,Ulladulla,AU,2022-01-26 20:42:42,-35.35,150.4667,67.1,70,40,4.59
266,Banda Aceh,ID,2022-01-26 20:42:42,5.5577,95.3222,78.22,80,65,3.44
267,Noormarkku,FI,2022-01-26 20:42:42,61.5927,21.8685,31.78,100,100,4.61
268,Sao Joao Da Barra,BR,2022-01-26 20:42:43,-21.6403,-41.0511,84.29,86,24,22.55
269,Makakilo City,US,2022-01-26 20:41:22,21.3469,-158.0858,77.68,63,0,11.5
270,Senneterre,CA,2022-01-26 20:42:43,48.3835,-77.2328,-0.18,84,71,9.13
271,Gondanglegi,ID,2022-01-26 20:42:43,-7.7479,112.0132,74.52,95,100,0.31
272,Carnarvon,AU,2022-01-26 20:42:44,-24.8667,113.6333,73.47,83,100,20.71
273,Inongo,CD,2022-01-26 20:43:44,-1.95,18.2667,75.24,80,100,5.41
